ヘルプページ該当箇所	CS申し送り項目	顧客からの想定質問	CS回答・補足説明
【冒頭の注意書き】「金額は税抜で入力してください」	税込で入力してしまった場合	「税込で入力してしまいました。修正できますか？」	該当セルを税抜金額に修正して再度「保存」してください。予実対比等の集計値も自動で再計算されます
【対象/前提条件】「費用設定が登録済みであること」	費用設定が未登録の場合	「費用実績入力に費目が表示されません」	費用設定画面で費目の登録が必要です。費用設定 > 「+ 費目の追加」から登録してください
【パターン1】直接入力	変動費の実績が自動計算されない	「変動費（%設定）の費目なのに実績が空欄です。自動で入りませんか？」	予算列は設定%×売上予算で自動計算されますが、実績列は自動計上されません。実際にかかった費用金額を手入力またはCSVインポートで入力してください
【パターン1】直接入力	保存を忘れて画面を離れた	「入力したのに消えてしまいました」	保存前に画面を離れると入力内容は保存されません。必ず「保存」ボタンを押してから画面を離れてください
【パターン1】直接入力	実績の反映先	「入力した実績はどこに反映されますか？」	年間予実対比・予実対比・月次集計に自動反映されます。対比率・構成比・固定費合計・営業利益等が再計算されます
【パターン2】CSVインポート	CSVインポートの期間連動	「CSVインポート画面の期間を変更したい」	CSVインポート画面の開始月・終了月は費用実績入力画面（親画面）の設定と連動しています。費用実績入力画面で期間を変更してからCSVインポートに遷移してください
【パターン2】CSVインポート	テンプレートに地代家賃がない	「CSVテンプレートに地代家賃が含まれていません」	地代家賃はCSVインポート対象外です。地代家賃の実績は費用実績入力画面の地代家賃セル枠モーダルから入力してください
【パターン2】CSVインポート	「不正な数値」エラー	「CSVインポートで『不正な数値 200,000』というエラーが出ます」	数値にカンマ区切り（200,000）が含まれています。カンマなし（200000）で入力してください。Googleスプレッドシートの場合: 表示形式 > 数字 > 書式なしテキストに変更してからCSVエクスポート
【パターン2】CSVインポート	Numbers形式でインポート失敗	「CSVをアップロードしたら『インポートに失敗しました』と出ます」	MacでCSVをダブルクリックするとNumbers形式に自動変換される場合があります。Googleスプレッドシートで開くか、テキストエディタで編集してCSV形式で保存してください
【パターン2】CSVインポート	上書きの確認	「CSVインポートで既存の実績値が上書きされますか？」	はい。値があるセルは確認なしで上書きされます。空欄のセルは既存値を保持（スキップ）します。インポート完了時に「上書き更新:X件/空セルスキップ:X件」が表示されます
【パターン2】CSVインポート	CSVの列を変更してしまった	「テンプレートの列名や順番を変えてしまいました」	テンプレートの列順・列名は変更しないでください。変更するとインポートエラーになります。再度テンプレートをダウンロードし直してください
【パターン2】CSVインポート	ExcelでCSV保存時の文字化け	「CSVをExcelで編集して保存したら文字化けします」	Excel保存時のファイル形式を「CSV UTF-8（カンマ区切り）」に指定してください。通常のCSVで保存するとShift-JISになり文字化けする場合があります
【パターン3】地代家賃セル枠モーダル	モーダルの開き方	「地代家賃の実績をどこから入力しますか？」	費用実績入力画面の地代家賃行で、各月の実績セル横にある編集ボタンをクリックするとモーダルが開きます。クリックした月のモーダルが直接開きます
【パターン3】地代家賃セル枠モーダル	デフォルト計算額の意味	「デフォルト計算額とは何ですか？実際の請求額と違います」	デフォルト計算額は地代家賃設定の賃料パターンから自動算出された参考値です。実際の請求額は売上実績・精算・値引き等で変動するため、実際の請求書に基づく金額を入力してください
【パターン3】地代家賃セル枠モーダル	実績入力で予算が変わるか	「地代家賃の実績を変更すると予算も変わりますか？」	いいえ。実績のみ変更されます。予算値（デフォルト計算額）は変わりません
【パターン3】地代家賃セル枠モーダル	リセットと月次設定削除の違い	「リセットと月次設定を削除の違いがわかりません」	リセット: 入力中の値をデフォルト計算額に戻す操作（保存前）。月次設定を削除: 保存済みの実績データを削除する操作
【パターン3】地代家賃セル枠モーダル	計算条件詳細の見方	「デフォルト値の計算条件詳細に表示される内容は何ですか？」	地代家賃設定で登録された賃料パターン・固定賃料・歩合率・最低保証額等が表示されます。変更するには地代家賃設定画面から行ってください
【設定後の確認方法】各画面反映	予実対比に反映されない	「実績を入力したのに予実対比画面に反映されません」	保存ボタンを押したか確認してください。保存済みであれば予実対比画面をリロードしてください。それでも反映されない場合はカスタマーサポートにお問い合わせください
【その他】「1店舗・1月・1費目につき1つ」	同じ月に複数回入力した場合	「同じ月に2回入力してしまいました。どちらが有効ですか？」	後から入力（保存）した値で上書きされます。最後に保存した値が有効です
【よくある質問】Q. CSVインポートに失敗	ファイル形式の確認方法	「CSVファイルかどうかの確認方法を教えてください」	ファイル名の末尾が「.csv」であることを確認してください。「.numbers」「.xlsx」の場合はCSV形式に変換が必要です
【ヘルプページ未記載】CSVインポート完了メッセージ	完了メッセージの意味	「インポート完了で表示される件数は何ですか？」	上書き更新: 既存実績値があるセルに新しい値をインポートした件数。新規登録: 実績値がなかったセルに新しい値をインポートした件数。空セルスキップ: CSVで空欄だったセル（既存値を保持）の件数
