画面	UI要素	表示ロジック	操作時の挙動	CSが顧客に説明すべきポイント
【費用実績入力画面】	費目行の表示順	費用設定に登録した順で表示。地代家賃は常に最上行	費用設定で追加/削除すると即時反映	顧客が「費目の並び順を変えたい」と言った場合 → 現時点では並び順の変更機能はなし
【費用実績入力画面】	予算列（固定費）	費用設定のデフォルト¥金額を全月に表示。単月費用設定で個別調整されている月はその値を優先表示	費用設定でデフォルト値を変更→全月の予算列が更新	「月によって予算額が違う」→ 単月費用設定で個別調整されている可能性あり
【費用実績入力画面】	予算列（変動費）	設定%×売上予算で¥金額を計算して表示	月次予算を変更すると売上予算が変わり、連動して予算額も変動	「予算額が前と変わった」→ 売上予算や変動費用予算%の変更に連動して変わる
【費用実績入力画面】	予算列（地代家賃）	地代家賃設定の賃料パターン（固定/歩合/段階別）×売上予算で計算。月により異なる値になる	地代家賃設定を変更すると予算額が変わる	「地代家賃の予算が月ごとに違う」→ 売上予算が月ごとに異なるため歩合計算結果も異なる
【費用実績入力画面】	実績列（地代家賃以外）	手入力値またはCSVインポート値を表示。未入力の場合は空欄	値を入力→「保存」で永続化。保存前に離れると消える	「変動費なのに実績が空欄」→ 実績は自動計上されない。手入力またはCSVインポートのみ
【費用実績入力画面】	実績列（地代家賃）	地代家賃モーダルで入力した値を表示。直接入力不可	セル横の編集ボタンクリック→モーダルが開く	「地代家賃の実績セルに入力できない」→ 編集ボタンからモーダルで入力する仕様
【費用実績入力画面】	「保存」ボタン	画面右下に常時表示	クリックで全費目・全月の入力内容を一括保存。「保存しました」トースト表示	1費目だけ保存はできない。全費目一括保存
【費用実績入力画面】	「CSVインポート」ボタン	画面右上に常時表示	クリックでCSVインポート画面に遷移。親画面の期間設定が連動	CSVインポート画面の期間は親画面と連動。先に期間を設定してから遷移
【費用実績入力画面】	期間選択（開始月/終了月）	プルダウンで月選択。「表示」ボタンで反映	表示期間を変更すると該当月の予算/実績が表示される	期間を変更しても保存済みデータは消えない。表示範囲の切り替えのみ
【地代家賃セル枠モーダル】	モーダルタイトル	「地代家賃設定: YYYY年MM月」テキスト表示	クリックした月に応じてタイトルが変わる	月プルダウンではない。別の月を編集したい場合は一度閉じて別の月の編集ボタンをクリック
【地代家賃セル枠モーダル】	デフォルト計算額	グレー背景の読み取り専用フィールド。地代家賃設定から自動算出	編集不可	「デフォルト計算額を変更したい」→ 地代家賃設定画面から変更する
【地代家賃セル枠モーダル】	「この月の地代家賃」入力欄	¥プレフィックス付き入力フィールド。デフォルト計算額がセットされている	金額を変更→差分表示が自動更新	入力値はデフォルト計算額と独立。実績のみ変更され予算は変わらない
【地代家賃セル枠モーダル】	差分表示	入力値とデフォルト計算額の差を緑テキストで表示	入力値を変更するとリアルタイム更新	「デフォルトから¥50,000増加」等。差分がない場合は非表示
【地代家賃セル枠モーダル】	「リセット」ボタン	緑枠のボタン。モーダル右側	入力値をデフォルト計算額に戻す。まだ保存されない	保存前の取り消し操作
【地代家賃セル枠モーダル】	「月次設定を削除」ボタン	赤テキストのボタン。保存済みデータがある場合のみ表示	保存済みの実績データを削除	リセットとは異なり保存済みレコードを削除する操作
【地代家賃セル枠モーダル】	「キャンセル」ボタン	グレー枠のボタン	変更を破棄してモーダルを閉じる	保存せずに閉じる。入力前の値が保持される
【地代家賃セル枠モーダル】	「保存する」ボタン	緑背景のボタン	入力値を保存。費用実績入力画面の該当月実績セルに反映	保存後は年間予実対比・予実対比・月次集計にも自動反映
【地代家賃セル枠モーダル】	「デフォルト値の計算条件詳細」	折りたたみ（アコーディオン）。クリックで展開/収納	展開すると賃料パターン・固定賃料・歩合率・最低保証額・段階別歩合が表示	参照のみ
【CSVインポート画面】	ステップ表示	「1 CSVダウンロード」「2 CSVインポート」の2ステップ	Step1→Step2の順で進む。「戻る」で前ステップに戻れる	2ステップ構成。テンプレDL→値入力→アップロードの流れ
【CSVインポート画面】	Step1 期間選択	開始月/終了月プルダウン。親画面と連動	変更するとテンプレートの列（月）が変わる	この期間で地代家賃以外の全登録費目のテンプレートが生成される
【CSVインポート画面】	Step1 「CSVダウンロード」ボタン	緑背景のボタン	空テンプレートをCSV（UTF-8 BOM有り）でDL	テンプレートには費用設定の全登録費目が行として出力。地代家賃は含まれない
【CSVインポート画面】	Step2 ドラッグ&ドロップエリア	破線枠のエリア。ファイル名が緑枠で表示される	CSVファイルをドロップまたはクリックで選択	.csv以外（.numbers/.xlsx等）はエラーになる
【CSVインポート画面】	Step2 「インポート」ボタン	緑背景のボタン	インポート実行。完了/エラーメッセージが表示される	完了時:「上書き更新:X件/新規登録:X件/空セルスキップ:X件」。エラー時: 具体的なエラーメッセージ
【CSVインポート画面】	Step2 エラーメッセージ	赤背景でエラー内容を表示	エラー発生時のみ表示。修正して再アップロード可能	「不正な数値 '200,000'」→ カンマ区切りが原因。修正してリトライ
